n, comparisons_quick, compartisons_merge, time_quick, time_merge
1000000, 34937058, 18674125, 140000.000000, 255000.000000
1000000, 36766355, 18674169, 142000.000000, 254000.000000
1000000, 34566422, 18674780, 140000.000000, 254000.000000
1000000, 35625721, 18673901, 141000.000000, 256000.000000
1000000, 34493411, 18673920, 139000.000000, 254000.000000
1000000, 35967109, 18674189, 140000.000000, 256000.000000
1000000, 34454462, 18673316, 141000.000000, 254000.000000
1000000, 34990556, 18673995, 139000.000000, 255000.000000
1000000, 34479935, 18673167, 140000.000000, 254000.000000
1000000, 35603113, 18675039, 141000.000000, 255000.000000
1000000, 36376218, 18674753, 141000.000000, 255000.000000
1000000, 35994107, 18674351, 143000.000000, 254000.000000
1000000, 35495628, 18674638, 144000.000000, 255000.000000
1000000, 34937750, 18674410, 141000.000000, 259000.000000
1000000, 34238286, 18673214, 141000.000000, 255000.000000
1000000, 34999486, 18674095, 142000.000000, 256000.000000
1000000, 35201756, 18673516, 143000.000000, 255000.000000
1000000, 35335474, 18673782, 142000.000000, 254000.000000
1000000, 35613094, 18673659, 141000.000000, 255000.000000
1000000, 34199087, 18674187, 142000.000000, 254000.000000
1000000, 35244821, 18673651, 141000.000000, 263000.000000
1000000, 34941771, 18673523, 141000.000000, 254000.000000
1000000, 34837436, 18674458, 142000.000000, 256000.000000
1000000, 35787993, 18673971, 142000.000000, 259000.000000
1000000, 35021005, 18674360, 140000.000000, 256000.000000
1000000, 34959670, 18674441, 142000.000000, 254000.000000
1000000, 35128993, 18673544, 143000.000000, 256000.000000
1000000, 34689956, 18673820, 141000.000000, 255000.000000
1000000, 34463095, 18674514, 143000.000000, 255000.000000
1000000, 34808254, 18673935, 142000.000000, 256000.000000
1000000, 36084350, 18673733, 142000.000000, 256000.000000
1000000, 34377481, 18674912, 141000.000000, 254000.000000
1000000, 35028135, 18673927, 141000.000000, 254000.000000
1000000, 34833486, 18674909, 139000.000000, 255000.000000
1000000, 34580567, 18673943, 140000.000000, 254000.000000
1000000, 35164905, 18674298, 141000.000000, 254000.000000
1000000, 36808975, 18673785, 143000.000000, 254000.000000
1000000, 35350884, 18674850, 138000.000000, 254000.000000
1000000, 34826228, 18674565, 142000.000000, 254000.000000
1000000, 35324346, 18674172, 140000.000000, 254000.000000
1000000, 34223887, 18674430, 142000.000000, 254000.000000
1000000, 34232550, 18674194, 140000.000000, 255000.000000
1000000, 34073633, 18674123, 141000.000000, 254000.000000
1000000, 35425127, 18674022, 140000.000000, 254000.000000
1000000, 34933433, 18674164, 140000.000000, 254000.000000
1000000, 36219742, 18673901, 141000.000000, 254000.000000
1000000, 35127128, 18674930, 142000.000000, 254000.000000
1000000, 35325658, 18674170, 141000.000000, 254000.000000
1000000, 35284561, 18674723, 139000.000000, 254000.000000
1000000, 35193048, 18674813, 139000.000000, 254000.000000
1000000, 35570812, 18673622, 139000.000000, 254000.000000
1000000, 35577562, 18673870, 141000.000000, 254000.000000
1000000, 34673618, 18674417, 142000.000000, 253000.000000
1000000, 35351052, 18674650, 143000.000000, 255000.000000
1000000, 34266078, 18674731, 141000.000000, 254000.000000
1000000, 35314479, 18674418, 140000.000000, 254000.000000
1000000, 35271725, 18675072, 143000.000000, 253000.000000
1000000, 34014077, 18673962, 140000.000000, 254000.000000
1000000, 34924322, 18673842, 142000.000000, 253000.000000
1000000, 34506354, 18674804, 141000.000000, 255000.000000
1000000, 35044324, 18674437, 142000.000000, 255000.000000
1000000, 35185038, 18674002, 142000.000000, 256000.000000
1000000, 33975826, 18675151, 141000.000000, 255000.000000
1000000, 35503235, 18673903, 141000.000000, 253000.000000
1000000, 34771307, 18673645, 143000.000000, 254000.000000
1000000, 35610665, 18673054, 141000.000000, 253000.000000
1000000, 34489895, 18674557, 140000.000000, 254000.000000
1000000, 34032035, 18673853, 141000.000000, 254000.000000
1000000, 35688214, 18673382, 142000.000000, 254000.000000
1000000, 35185761, 18673141, 141000.000000, 254000.000000
1000000, 34685637, 18674775, 144000.000000, 253000.000000
1000000, 36164588, 18674498, 142000.000000, 254000.000000
1000000, 35018876, 18674675, 141000.000000, 254000.000000
1000000, 34461465, 18674051, 140000.000000, 255000.000000
1000000, 34922700, 18673894, 143000.000000, 253000.000000
1000000, 34556409, 18674869, 141000.000000, 254000.000000
1000000, 35968816, 18674797, 141000.000000, 256000.000000
1000000, 34611602, 18674353, 142000.000000, 254000.000000
1000000, 34898763, 18672833, 142000.000000, 255000.000000
1000000, 35235606, 18675578, 141000.000000, 254000.000000
1000000, 34886964, 18674858, 141000.000000, 255000.000000
1000000, 34607988, 18673749, 141000.000000, 255000.000000
1000000, 34828434, 18673017, 141000.000000, 256000.000000
1000000, 34522087, 18674585, 142000.000000, 257000.000000
